Teil,Menge Anzahl Einheiten,"Spezifikationen SKU-ID, Leistungseinheiten usw.",Name der Größe,vCPUs (Anzahl),Arbeitsspeicher (GB),Größe Name,Max. Remotespeicherdatenträger (Menge),SSD Premium-Datenträger-IOPS ohne Zwischenspeicherung,SSD Premium-Durchsatz ohne Zwischenspeicherung (MB/s),SSD Premium-Burst1-IOPS ohne Zwischenspeicherung,SSD Premium-Burst1-Durchsatz ohne Zwischenspeicherung (MB/s),Disk Ultra- und SSD Premium v2-IOPS ohne Zwischenspeicherung,Disk Ultra- und SSD Premium v2-Durchsatz ohne Zwischenspeicherung (MB/s),Disk Ultra- und SSD Premium v2-IOPS ohne Burstzwischenspeicherung1,Disk Ultra- und SSD Premium v2-Durchsatz (MB/s) ohne Burstzwischenspeicherung1,Max. NICs (Anzahl),Maximale Netzwerkbandbreite (MB/s),Max. temporäre Speicherdatenträger (Menge),Temporäre Datenträgergröße (GiB),Random Read (RR) des temporären Datenträgers1 – IOPS,Random Read1-Durchsatz (MB/s) des temporären Datenträgers,Random Write (RW) des temporären Datenträgers1 – IOPS,Random Write1-Durchsatz (MB/s) des temporären Datenträgers,SSD Premium-Durchsatz (MB/s) ohne Zwischenspeicherung,SSD Premium-Burst-IOPS1 ohne Zwischenspeicherung,SSD Premium-Burstdurchsatz (MB/s)1 ohne Zwischenspeicherung,Disk Ultra- und SSD Premium v2-Durchsatz (MB/s) ohne Zwischenspeicherung,Maximale Netzwerkbandbreite (MBit/s),vCPUs (Menge),Arbeitsspeicher (GiB),Max. Remotespeicher (Menge),Nicht zwischengespeicherte Speicher-IOPS,Nicht zwischengespeicherte Speichergeschwindigkeit (MBps),Nicht zwischengespeicherter Storage Burst1 IOPS,Nicht zwischengespeicherter Storage Burst1 Speed (MBps),Nicht zwischengespeicherter Special2 Storage IOPS,Nicht zwischengespeicherter Special2 Storage-Geschwindigkeit (MBps),Nicht zwischengespeicherter Burst1 Special2 Storage IOPS,Nicht zwischengespeicherte Burst1 Special Storage-Geschwindigkeit (MBps),Max Temp Storage (Menge),Temporäre Speichergröße (GiB),Temp ReadWrite Storage IOPS,Temp ReadWrite Storage Speed (MBps),Temp ReadOnly Storage IOPS,Temp ReadOnly Storage Speed (MBps),Random Read-Durchsatz (MB/s)1 des temporären Datenträgers,Kerne (Anzahl),EPC-Arbeitsspeicher (GiB),EPC-Speicher (MiB),ReadWrite-IOPS des temporären Datenträgers,ReadWrite-Geschwindigkeit (MBit/s) des temporären Datenträgers,ReadOnly-IOPS des temporären Datenträgers,ReadOnly-Geschwindigkeit (MBit/s) des temporären Datenträgers,Size,vCPU,Memory: GiB,Temporärer Speicher (SSD): GiB,Max. Anzahl Datenträger,Maximaler Durchsatz (temporärer Speicher): IOPS/MBit/s,Maximaler Durchsatz bei SSD Premium-Datenträgern ohne Cache: IOPS/MBit/s,Maximaler Burstdurchsatz bei SSD Premium-Datenträgern ohne Cache: IOPS/MBit/s,Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBps,Maximaler Burst nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,Maximale Anzahl NICs,Netzwerkbandbreite,Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MBit/s,Max. Netzwerkbandbreite (MBit/s),Maximaler temporärer Speicherdurchsatz: IOPS/MB/s,Größe,RAM (GiB),Maximaler Durchsatz des temporären Datenträgers in IOPS/MBit/s,Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MB/s,Maximaler Burst-Datenträgerdurchsatz ohne Cache: IOPS/MBit/s,Maximaler nicht zwischengespeicherter SSD Premium-Durchsatz: IOPS/MBit/s,Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,Maximaler temporärer Speicherdurchsatz: IOPS/MBit/s*,Maximaler SSD Premium-Durchsatz ohne Cache: IOPS/MBit/s,Maximaler temporärer Speicherdurchsatz: IOPS/MB/s*,Größe1,Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,NIC (max),Burstdatenträgerdurchsatz ohne Cache: IOPS/MBit/s1,Erwartete ausgehende Netzwerkbandbreite (MBit/s),Maximaler Durchsatz (Cache und temporärer Speicher): IOPS/MBit/s,Burstdurchsatz für Cache- und temporären Speicher: IOPS/MBit/s1,Maximaler Durchsatz (Cache und temporärer Speicher): IOPS/MBps (Cachegröße in GiB),Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MBps,Erwartete Netzwerkbandbreite (MBit/s),Max. NVMe-Datenträger (Anzahl),NVMe-Datenträgergröße (TB),NVMe-Datenträger-IOPS,NVMe-Datenträgerdurchsatz (MB/s),SSD Premium-Burst1 Durchsatz ohne Zwischenspeicherung (MB/s),Nicht zwischengespeicherte Datenträger-IOPS,Nicht zwischengespeicherte Datenträgergeschwindigkeit (MBit/s),Maximale Bandbreite (Mbps),Beschleuniger (Anzahl),Arbeitsspeicher der Beschleuniger (GB),NVMe-Datenträgergröße (TiB)
,,,,,,Standard_D4pls_v6,,,,,,,,,,,,,,,,,,,,,,,,,12.0,6400.0,212,20000.0,1250.0,8333.0,248.0,26040.0,1.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D8pls_v6,,,,,,,,,,,,,,,,,,,,,,,,,24.0,12800.0,424,20000.0,1250.0,16666.0,496.0,26040.0,1.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D16pls_v6,,,,,,,,,,,,,,,,,,,,,,,,,48.0,25600.0,848,40.0,1250.0,33331.0,992.0,52080.0,1.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D32pls_v6,,,,,,,,,,,,,,,,,,,,,,,,,64.0,51.2,16 %,80.0,2.0,66662.0,1984.0,104160.0,2340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D48pls_v6,,,,,,,,,,,,,,,,,,,,,,,,,64.0,76800.0,2544,80.0,3000.0,99994.0,2976.0,104160.0,3510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D64pls_v6,,,,,,,,,,,,,,,,,,,,,,,,,64.0,102400.0,3392,102400.0,3392.0,133325.0,3969.0,133325.0,4680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D96pls_v6,,,,,,,,,,,,,,,,,,,,,,,,,64.0,153600.0,5000,153600.0,5000.0,199987.0,5850.0,199987.0,5953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D2pls_v6,,,,,,,,,,,,,2.0,,,,,,,,,,,,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D4pls_v6,,,,,,,,,,,,,2.0,,,,,,,,,,,,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D8pls_v6,,,,,,,,,,,,,4.0,,,,,,,,,,,,15000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D16pls_v6,,,,,,,,,,,,,8.0,,,,,,,,,,,,15000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D32pls_v6,,,,,,,,,,,,,8.0,,,,,,,,,,,,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D48pls_v6,,,,,,,,,,,,,8.0,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D64pls_v6,,,,,,,,,,,,,8.0,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D96pls_v6,,,,,,,,,,,,,8.0,,,,,,,,,,,,60000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prozessor,2 - 96 vCPUs,Azure Cobalt 100 [Arm64],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbeitsspeicher,4–192GiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lokaler Speicher,1 - 6 Datenträger,110 - 880 GiB/Disk 15000 - 1800000 IOPS 90 - 8640 MBit/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remotespeicher,8 - 64 Datenträger,3750 - 199987 IOPS 106 - 5850 MBps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network,2–8 NICs,12500 - 60000 MBit/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schnellinfos,Keine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D2plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D4plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D8plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D16plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D32plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D48plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D64plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D96plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D2plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,110.0,15000.0,90.0,37500.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D4plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,220.0,30.0,180.0,75.0,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D8plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,440.0,60000.0,360.0,150000.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D16plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,440.0,120000.0,720.0,300000.0,1440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D32plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,440.0,240000.0,1440.0,600000.0,2880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D48plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,440.0,360000.0,2160.0,900000.0,4320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D64plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,880.0,480000.0,2880.0,1200000.0,5760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D96plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,880.0,720000.0,4320.0,1800000.0,8640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D2plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3750.0,106,10000.0,1250.0,4163.0,124.0,11100.0,1.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D4plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,12.0,6400.0,212,20000.0,1250.0,8333.0,248.0,26040.0,1.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D8plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,24.0,12800.0,424,20000.0,1250.0,16666.0,496.0,26040.0,1.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D16plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,48.0,25600.0,848,40.0,1250.0,33331.0,992.0,52080.0,1.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D32plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,64.0,51.2,16 %,80.0,2.0,66662.0,1984.0,104160.0,2340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D48plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,64.0,76800.0,2544,80.0,3000.0,99994.0,2976.0,104160.0,3510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D64plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,64.0,102400.0,3392,102400.0,3392.0,133325.0,3969.0,133325.0,4680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D96plds_v6,,,,,,,,,,,,,,,,,,,,,,,,,64.0,153600.0,5000,153600.0,5000.0,199987.0,5850.0,199987.0,5953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D2plds_v6,,,,,,,,,,,,,2.0,,,,,,,,,,,,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D4plds_v6,,,,,,,,,,,,,2.0,,,,,,,,,,,,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D8plds_v6,,,,,,,,,,,,,4.0,,,,,,,,,,,,15000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D16plds_v6,,,,,,,,,,,,,8.0,,,,,,,,,,,,15000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D32plds_v6,,,,,,,,,,,,,8.0,,,,,,,,,,,,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D48plds_v6,,,,,,,,,,,,,8.0,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D64plds_v6,,,,,,,,,,,,,8.0,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D96plds_v6,,,,,,,,,,,,,8.0,,,,,,,,,,,,60000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prozessor,2 - 96 vCPUs,Intel Xeon Platinum 8473C (Sapphire Rapids) [x86-64] Intel Xeon Platinum 8370C (Ice Lake) [x86-64],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbeitsspeicher,8–384GiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lokaler Speicher,Keine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remotespeicher,4–32 Datenträger,3.750–80.000 IOPS 85 – 2.600 MBit/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network,2–8 NICs,12.500–35.000 MBit/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schnellinfos,Keine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D2_v5,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D4_v5,4.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D8_v5,8.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D16_v5,16.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D32_v5,32.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D48_v5,48.0,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D64_v5,64.0,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D96_v5,96.0,384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D2_v5,4.0,3750.0,85,10000.0,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D4_v5,8.0,6400.0,145,20000.0,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D8_v5,16.0,12800.0,290,20000.0,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D16_v5,32.0,25600.0,600,40.0,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D32_v5,32.0,51.2,865,80.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D48_v5,32.0,76800.0,1315,80.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D64_v5,32.0,80.0,1735,80.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Standard_D96_v5,32.0,80.0,2600,80.0,4000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D2_v5,,,,,,,,,,,,,2.0,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D4_v5,,,,,,,,,,,,,2.0,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D8_v5,,,,,,,,,,,,,4.0,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D16_v5,,,,,,,,,,,,,8.0,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D32_v5,,,,,,,,,,,,,8.0,16000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D48_v5,,,,,,,,,,,,,8.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D64_v5,,,,,,,,,,,,,8.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D96_v5,,,,,,,,,,,,,8.0,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prozessor,2 - 96 vCPUs,Intel Xeon Platinum 8473C (Sapphire Rapids) [x86-64] Intel Xeon Platinum 8370C (Ice Lake) [x86-64],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbeitsspeicher,8–384GiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lokaler Speicher,Keine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remotespeicher,4–32 Datenträger,3.750–80.000 IOPS 85 – 2.600 MBit/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network,2–8 NICs,12.500–35.000 MBit/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schnellinfos,Keine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D2s_v5,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard_D4s_v5,4.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
