InstanceType,vCPUs,MemoryGiB,Storage,BaseClockSpeedGhz,Region
m6in.12xlarge,48,192.0,N/A,3.5,ap-south-1
m4.xlarge,4,16.0,N/A,2.4,ap-south-1
c6in.12xlarge,48,96.0,N/A,3.5,ap-south-1
t3a.2xlarge,8,32.0,N/A,2.2,ap-south-1
r7gd.16xlarge,64,512.0,3800,2.6,ap-south-1
g6.48xlarge,192,768.0,7520,3.4,ap-south-1
i4i.4xlarge,16,128.0,3750,3.5,ap-south-1
r5n.4xlarge,16,128.0,N/A,3.1,ap-south-1
c5.xlarge,4,8.0,N/A,3.4,ap-south-1
c7i-flex.2xlarge,8,16.0,N/A,3.2,ap-south-1
g6.8xlarge,32,128.0,900,3.4,ap-south-1
g4dn.12xlarge,48,192.0,900,2.5,ap-south-1
m5.metal,96,384.0,N/A,3.1,ap-south-1
m6a.metal,192,768.0,N/A,3.6,ap-south-1
inf2.24xlarge,96,384.0,N/A,3.6,ap-south-1
c7gd.16xlarge,64,128.0,3800,2.6,ap-south-1
m6g.xlarge,4,16.0,N/A,2.5,ap-south-1
t3.medium,2,4.0,N/A,2.5,ap-south-1
c5a.xlarge,4,8.0,N/A,3.3,ap-south-1
r7g.metal,64,512.0,N/A,2.6,ap-south-1
r6id.12xlarge,48,384.0,2850,3.5,ap-south-1
c5n.large,2,5.25,N/A,3.4,ap-south-1
c6i.24xlarge,96,192.0,N/A,3.5,ap-south-1
m7i.2xlarge,8,32.0,N/A,3.2,ap-south-1
r5a.16xlarge,64,512.0,N/A,2.5,ap-south-1
a1.medium,1,2.0,N/A,2.3,ap-south-1
t4g.2xlarge,8,32.0,N/A,2.5,ap-south-1
r6a.32xlarge,128,1024.0,N/A,3.6,ap-south-1
c6in.16xlarge,64,128.0,N/A,3.5,ap-south-1
r6g.4xlarge,16,128.0,N/A,2.5,ap-south-1
m5d.metal,96,384.0,3600,3.1,ap-south-1
g5.24xlarge,96,384.0,3800,3.3,ap-south-1
c7i-flex.8xlarge,32,64.0,N/A,3.2,ap-south-1
c6a.32xlarge,128,256.0,N/A,3.6,ap-south-1
c5a.12xlarge,48,96.0,N/A,3.3,ap-south-1
r6id.4xlarge,16,128.0,950,3.5,ap-south-1
r8g.large,2,16.0,N/A,2.8,ap-south-1
p2.8xlarge,32,488.0,N/A,2.7,ap-south-1
r7gd.xlarge,4,32.0,237,2.6,ap-south-1
r6i.4xlarge,16,128.0,N/A,3.5,ap-south-1
c4.large,2,3.75,N/A,2.9,ap-south-1
t3.xlarge,4,16.0,N/A,2.5,ap-south-1
m6i.8xlarge,32,128.0,N/A,3.5,ap-south-1
m5ad.large,2,8.0,75,2.2,ap-south-1
r6a.8xlarge,32,256.0,N/A,3.6,ap-south-1
t4g.medium,2,4.0,N/A,2.5,ap-south-1
t3a.small,2,2.0,N/A,2.2,ap-south-1
m7g.12xlarge,48,192.0,N/A,2.6,ap-south-1
m6in.32xlarge,128,512.0,N/A,3.5,ap-south-1
t3.2xlarge,8,32.0,N/A,2.5,ap-south-1
z1d.xlarge,4,32.0,150,4.0,ap-south-1
t3.large,2,8.0,N/A,2.5,ap-south-1
m6gd.metal,64,256.0,3800,2.5,ap-south-1
r8g.medium,1,8.0,N/A,2.8,ap-south-1
r6a.12xlarge,48,384.0,N/A,3.6,ap-south-1
c5.4xlarge,16,32.0,N/A,3.4,ap-south-1
m6in.16xlarge,64,256.0,N/A,3.5,ap-south-1
i4i.metal,128,1024.0,30000,3.5,ap-south-1
c6gn.xlarge,4,8.0,N/A,2.5,ap-south-1
inf1.xlarge,4,8.0,N/A,2.5,ap-south-1
m6g.metal,64,256.0,N/A,2.5,ap-south-1
x2idn.metal,128,2048.0,3800,3.5,ap-south-1
r6g.12xlarge,48,384.0,N/A,2.5,ap-south-1
r7g.2xlarge,8,64.0,N/A,2.6,ap-south-1
r5n.16xlarge,64,512.0,N/A,3.1,ap-south-1
c7i-flex.large,2,4.0,N/A,3.2,ap-south-1
inf1.6xlarge,24,48.0,N/A,2.5,ap-south-1
r6id.32xlarge,128,1024.0,7600,3.5,ap-south-1
c6in.8xlarge,32,64.0,N/A,3.5,ap-south-1
c7i.metal-24xl,96,192.0,N/A,3.2,ap-south-1
r7i.2xlarge,8,64.0,N/A,3.2,ap-south-1
t4g.large,2,8.0,N/A,2.5,ap-south-1
r5d.xlarge,4,32.0,150,3.1,ap-south-1
c6a.12xlarge,48,96.0,N/A,3.6,ap-south-1
d3.xlarge,4,32.0,5940,3.1,ap-south-1
r7i.12xlarge,48,384.0,N/A,3.2,ap-south-1
i2.xlarge,4,30.5,800,2.5,ap-south-1
c5a.2xlarge,8,16.0,N/A,3.3,ap-south-1
r7gd.4xlarge,16,128.0,950,2.6,ap-south-1
r7i.metal-24xl,96,768.0,N/A,3.2,ap-south-1
m6gd.16xlarge,64,256.0,3800,2.5,ap-south-1
r5.large,2,16.0,N/A,3.1,ap-south-1
r7g.xlarge,4,32.0,N/A,2.6,ap-south-1
r5d.16xlarge,64,512.0,2400,3.1,ap-south-1
c7i.large,2,4.0,N/A,3.2,ap-south-1
r5d.4xlarge,16,128.0,600,3.1,ap-south-1
m6idn.xlarge,4,16.0,237,3.5,ap-south-1
c5d.24xlarge,96,192.0,3600,3.6,ap-south-1
c5.24xlarge,96,192.0,N/A,3.6,ap-south-1
c7i-flex.4xlarge,16,32.0,N/A,3.2,ap-south-1
r7gd.medium,1,8.0,59,2.6,ap-south-1
c7i-flex.xlarge,4,8.0,N/A,3.2,ap-south-1
c7gd.xlarge,4,8.0,237,2.6,ap-south-1
m6a.4xlarge,16,64.0,N/A,3.6,ap-south-1
c6gd.16xlarge,64,128.0,3800,2.5,ap-south-1
r5n.24xlarge,96,768.0,N/A,3.1,ap-south-1
m7i.48xlarge,192,768.0,N/A,3.2,ap-south-1
m6in.4xlarge,16,64.0,N/A,3.5,ap-south-1
m6i.metal,128,512.0,N/A,3.5,ap-south-1
c6gd.xlarge,4,8.0,237,2.5,ap-south-1
c5n.9xlarge,36,96.0,N/A,3.4,ap-south-1
r5ad.large,2,16.0,75,2.2,ap-south-1
r3.2xlarge,8,61.0,160,2.5,ap-south-1
r5.4xlarge,16,128.0,N/A,3.1,ap-south-1
inf1.2xlarge,8,16.0,N/A,2.5,ap-south-1
r8g.24xlarge,96,768.0,N/A,2.8,ap-south-1
r6gd.4xlarge,16,128.0,950,2.5,ap-south-1
m6i.16xlarge,64,256.0,N/A,3.5,ap-south-1
mac1.metal,12,32.0,N/A,3.2,ap-south-1
r5.16xlarge,64,512.0,N/A,3.1,ap-south-1
x2iedn.metal,128,4096.0,3800,3.5,ap-south-1
c6a.8xlarge,32,64.0,N/A,3.6,ap-south-1
r5d.large,2,16.0,75,3.1,ap-south-1
c5.12xlarge,48,96.0,N/A,3.6,ap-south-1
c6i.16xlarge,64,128.0,N/A,3.5,ap-south-1
r5a.4xlarge,16,128.0,N/A,2.5,ap-south-1
m6in.metal,128,512.0,N/A,3.5,ap-south-1
t3a.medium,2,4.0,N/A,2.2,ap-south-1
c6a.metal,192,384.0,N/A,3.6,ap-south-1
m4.large,2,8.0,N/A,2.4,ap-south-1
u-6tb1.56xlarge,224,6144.0,N/A,2.1,ap-south-1
r8g.48xlarge,192,1536.0,N/A,2.7,ap-south-1
c7i.xlarge,4,8.0,N/A,3.2,ap-south-1
m7gd.metal,64,256.0,3800,2.6,ap-south-1
t2.micro,1,1.0,N/A,2.5,ap-south-1
r6id.24xlarge,96,768.0,5700,3.5,ap-south-1
m7g.16xlarge,64,256.0,N/A,2.6,ap-south-1
t2.large,2,8.0,N/A,2.3,ap-south-1
c7i.16xlarge,64,128.0,N/A,3.2,ap-south-1
m6i.32xlarge,128,512.0,N/A,3.5,ap-south-1
i4i.2xlarge,8,64.0,1875,3.5,ap-south-1
r7i.8xlarge,32,256.0,N/A,3.2,ap-south-1
c5a.24xlarge,96,192.0,N/A,3.3,ap-south-1
m5d.24xlarge,96,384.0,3600,3.1,ap-south-1
c5d.4xlarge,16,32.0,400,3.4,ap-south-1
c7i.24xlarge,96,192.0,N/A,3.2,ap-south-1
r5d.2xlarge,8,64.0,300,3.1,ap-south-1
u-12tb1.112xlarge,448,12288.0,N/A,2.1,ap-south-1
m6g.large,2,8.0,N/A,2.5,ap-south-1
t4g.small,2,2.0,N/A,2.5,ap-south-1
c7gd.large,2,4.0,118,2.6,ap-south-1
m7gd.4xlarge,16,64.0,950,2.6,ap-south-1
c6in.2xlarge,8,16.0,N/A,3.5,ap-south-1
r5n.2xlarge,8,64.0,N/A,3.1,ap-south-1
c6gn.12xlarge,48,96.0,N/A,2.5,ap-south-1
r6a.48xlarge,192,1536.0,N/A,3.6,ap-south-1
m4.16xlarge,64,256.0,N/A,2.3,ap-south-1
r3.4xlarge,16,122.0,320,2.5,ap-south-1
a1.xlarge,4,8.0,N/A,2.3,ap-south-1
m7gd.medium,1,4.0,59,2.6,ap-south-1
m6g.4xlarge,16,64.0,N/A,2.5,ap-south-1
c6gn.medium,1,2.0,N/A,2.5,ap-south-1
m7gd.8xlarge,32,128.0,1900,2.6,ap-south-1
m5.4xlarge,16,64.0,N/A,3.1,ap-south-1
c6g.large,2,4.0,N/A,2.5,ap-south-1
m6g.8xlarge,32,128.0,N/A,2.5,ap-south-1
d3.2xlarge,8,64.0,11880,3.1,ap-south-1
m6idn.32xlarge,128,512.0,7600,3.5,ap-south-1
r5.metal,96,768.0,N/A,3.1,ap-south-1
g5.12xlarge,48,192.0,3800,3.3,ap-south-1
m7g.8xlarge,32,128.0,N/A,2.6,ap-south-1
c5.9xlarge,36,72.0,N/A,3.4,ap-south-1
t3.nano,2,0.5,N/A,2.5,ap-south-1
z1d.metal,48,384.0,1800,4.0,ap-south-1
x2iedn.4xlarge,16,512.0,475,3.5,ap-south-1
c6in.32xlarge,128,256.0,N/A,3.5,ap-south-1
m7i.large,2,8.0,N/A,3.2,ap-south-1
m7g.xlarge,4,16.0,N/A,2.6,ap-south-1
r5ad.2xlarge,8,64.0,300,2.2,ap-south-1
r7i.large,2,16.0,N/A,3.2,ap-south-1
r7gd.2xlarge,8,64.0,474,2.6,ap-south-1
c4.xlarge,4,7.5,N/A,2.9,ap-south-1
r6a.24xlarge,96,768.0,N/A,3.6,ap-south-1
r5d.24xlarge,96,768.0,3600,3.1,ap-south-1
m6in.large,2,8.0,N/A,3.5,ap-south-1
t3a.large,2,8.0,N/A,2.2,ap-south-1
i3.xlarge,4,30.5,950,2.3,ap-south-1
g4dn.xlarge,4,16.0,125,2.5,ap-south-1
i3.large,2,15.25,475,2.3,ap-south-1
c4.2xlarge,8,15.0,N/A,2.9,ap-south-1
m6a.16xlarge,64,256.0,N/A,3.6,ap-south-1
m5a.8xlarge,32,128.0,N/A,2.5,ap-south-1
c7gd.2xlarge,8,16.0,474,2.6,ap-south-1
m6idn.2xlarge,8,32.0,474,3.5,ap-south-1
c5n.18xlarge,72,192.0,N/A,3.4,ap-south-1
r5d.8xlarge,32,256.0,1200,3.1,ap-south-1
r3.xlarge,4,30.5,80,2.5,ap-south-1
m6idn.metal,128,512.0,7600,3.5,ap-south-1
t3.micro,2,1.0,N/A,2.5,ap-south-1
m6id.16xlarge,64,256.0,3800,3.5,ap-south-1
r5.xlarge,4,32.0,N/A,3.1,ap-south-1
x2idn.32xlarge,128,2048.0,3800,3.5,ap-south-1
c7g.2xlarge,8,16.0,N/A,2.6,ap-south-1
c6in.large,2,4.0,N/A,3.5,ap-south-1
c5d.18xlarge,72,144.0,1800,3.4,ap-south-1
r5ad.16xlarge,64,512.0,2400,2.5,ap-south-1
inf2.xlarge,4,16.0,N/A,3.6,ap-south-1
x2idn.16xlarge,64,1024.0,1900,3.5,ap-south-1
c5d.xlarge,4,8.0,100,3.4,ap-south-1
is4gen.large,2,12.0,1875,2.5,ap-south-1
m5ad.24xlarge,96,384.0,3600,2.2,ap-south-1
c5a.16xlarge,64,128.0,N/A,3.3,ap-south-1
r6gd.8xlarge,32,256.0,1900,2.5,ap-south-1
z1d.12xlarge,48,384.0,1800,4.0,ap-south-1
m7g.2xlarge,8,32.0,N/A,2.6,ap-south-1
m6idn.24xlarge,96,384.0,5700,3.5,ap-south-1
m6g.12xlarge,48,192.0,N/A,2.5,ap-south-1
c7g.metal,64,128.0,N/A,2.6,ap-south-1
m7i-flex.4xlarge,16,64.0,N/A,3.2,ap-south-1
c6a.xlarge,4,8.0,N/A,3.6,ap-south-1
r5.2xlarge,8,64.0,N/A,3.1,ap-south-1
u-6tb1.112xlarge,448,6144.0,N/A,2.1,ap-south-1
g6.xlarge,4,16.0,250,3.4,ap-south-1
i2.8xlarge,32,244.0,6400,2.5,ap-south-1
m4.2xlarge,8,32.0,N/A,2.4,ap-south-1
r6id.metal,128,1024.0,7600,3.5,ap-south-1
x1e.16xlarge,64,1952.0,1920,2.3,ap-south-1
r7g.8xlarge,32,256.0,N/A,2.6,ap-south-1
t4g.xlarge,4,16.0,N/A,2.5,ap-south-1
m5d.2xlarge,8,32.0,300,3.1,ap-south-1
r8g.xlarge,4,32.0,N/A,2.8,ap-south-1
m5.16xlarge,64,256.0,N/A,3.1,ap-south-1
g6.2xlarge,8,32.0,450,3.4,ap-south-1
c5n.metal,72,192.0,N/A,3.4,ap-south-1
m6gd.8xlarge,32,128.0,1900,2.5,ap-south-1
c7i.metal-48xl,192,384.0,N/A,3.2,ap-south-1
r5ad.xlarge,4,32.0,150,2.2,ap-south-1
a1.2xlarge,8,16.0,N/A,2.3,ap-south-1
c7gd.8xlarge,32,64.0,1900,2.6,ap-south-1
x2iedn.16xlarge,64,2048.0,1900,3.5,ap-south-1
r6i.12xlarge,48,384.0,N/A,3.5,ap-south-1
r6i.metal,128,1024.0,N/A,3.5,ap-south-1
r4.2xlarge,8,61.0,N/A,2.3,ap-south-1
m6g.16xlarge,64,256.0,N/A,2.5,ap-south-1
c7g.medium,1,2.0,N/A,2.6,ap-south-1
i4i.large,2,16.0,468,3.5,ap-south-1
g5.16xlarge,64,256.0,1900,3.3,ap-south-1
r7g.4xlarge,16,128.0,N/A,2.6,ap-south-1
r4.xlarge,4,30.5,N/A,2.3,ap-south-1
a1.metal,16,32.0,N/A,2.3,ap-south-1
r7gd.metal,64,512.0,3800,2.6,ap-south-1
is4gen.2xlarge,8,48.0,7500,2.5,ap-south-1
g5.xlarge,4,16.0,250,3.3,ap-south-1
r5n.xlarge,4,32.0,N/A,3.1,ap-south-1
m6id.metal,128,512.0,7600,3.5,ap-south-1
r7i.xlarge,4,32.0,N/A,3.2,ap-south-1
r6a.4xlarge,16,128.0,N/A,3.6,ap-south-1
c5.large,2,4.0,N/A,3.4,ap-south-1
t4g.micro,2,1.0,N/A,2.5,ap-south-1
r7gd.large,2,16.0,118,2.6,ap-south-1
m6in.xlarge,4,16.0,N/A,3.5,ap-south-1
r6i.16xlarge,64,512.0,N/A,3.5,ap-south-1
c5.metal,96,192.0,N/A,3.6,ap-south-1
t2.medium,2,4.0,N/A,2.3,ap-south-1
m5ad.xlarge,4,16.0,150,2.2,ap-south-1
c6a.4xlarge,16,32.0,N/A,3.6,ap-south-1
i2.4xlarge,16,122.0,3200,2.5,ap-south-1
c5d.metal,96,192.0,3600,3.6,ap-south-1
r6id.large,2,16.0,118,3.5,ap-south-1
m6i.4xlarge,16,64.0,N/A,3.5,ap-south-1
r5.8xlarge,32,256.0,N/A,3.1,ap-south-1
d3.4xlarge,16,128.0,23760,3.1,ap-south-1
p2.xlarge,4,61.0,N/A,2.7,ap-south-1
c7gd.metal,64,128.0,3800,2.6,ap-south-1
t3a.nano,2,0.5,N/A,2.2,ap-south-1
m7i-flex.8xlarge,32,128.0,N/A,3.2,ap-south-1
g6.4xlarge,16,64.0,600,3.4,ap-south-1
m4.10xlarge,40,160.0,N/A,2.4,ap-south-1
r8g.2xlarge,8,64.0,N/A,2.8,ap-south-1
r7i.48xlarge,192,1536.0,N/A,3.2,ap-south-1
x1e.4xlarge,16,488.0,480,2.3,ap-south-1
r5d.12xlarge,48,384.0,1800,3.1,ap-south-1
m7g.medium,1,4.0,N/A,2.6,ap-south-1
c6i.12xlarge,48,96.0,N/A,3.5,ap-south-1
m5.2xlarge,8,32.0,N/A,3.1,ap-south-1
x1e.xlarge,4,122.0,120,2.3,ap-south-1
m7i-flex.large,2,8.0,N/A,3.2,ap-south-1
m6id.4xlarge,16,64.0,950,3.5,ap-south-1
c6in.4xlarge,16,32.0,N/A,3.5,ap-south-1
g4dn.16xlarge,64,256.0,900,2.5,ap-south-1
i3en.xlarge,4,32.0,2500,3.1,ap-south-1
i3.8xlarge,32,244.0,7600,2.3,ap-south-1
c6g.medium,1,2.0,N/A,2.5,ap-south-1
m6a.32xlarge,128,512.0,N/A,3.6,ap-south-1
d2.4xlarge,16,122.0,24576,2.4,ap-south-1
r8g.metal-48xl,192,1536.0,N/A,2.7,ap-south-1
p2.16xlarge,64,732.0,N/A,2.3,ap-south-1
c6a.2xlarge,8,16.0,N/A,3.6,ap-south-1
c6gd.2xlarge,8,16.0,474,2.5,ap-south-1
c6gd.4xlarge,16,32.0,950,2.5,ap-south-1
c6g.4xlarge,16,32.0,N/A,2.5,ap-south-1
r6a.large,2,16.0,N/A,3.6,ap-south-1
m5d.12xlarge,48,192.0,1800,3.1,ap-south-1
c7i.4xlarge,16,32.0,N/A,3.2,ap-south-1
z1d.large,2,16.0,75,4.0,ap-south-1
c6gn.2xlarge,8,16.0,N/A,2.5,ap-south-1
g6.16xlarge,64,256.0,1880,3.4,ap-south-1
m6gd.2xlarge,8,32.0,474,2.5,ap-south-1
i3.metal,72,512.0,15200,2.3,ap-south-1
m5.large,2,8.0,N/A,3.1,ap-south-1
g5.8xlarge,32,128.0,900,3.3,ap-south-1
r6id.8xlarge,32,256.0,1900,3.5,ap-south-1
m6i.xlarge,4,16.0,N/A,3.5,ap-south-1
r6a.16xlarge,64,512.0,N/A,3.6,ap-south-1
r5ad.4xlarge,16,128.0,600,2.2,ap-south-1
m5ad.16xlarge,64,256.0,2400,2.5,ap-south-1
r5a.8xlarge,32,256.0,N/A,2.5,ap-south-1
gr6.8xlarge,32,256.0,900,3.4,ap-south-1
inf1.24xlarge,96,192.0,N/A,2.5,ap-south-1
r5a.24xlarge,96,768.0,N/A,2.5,ap-south-1
r7i.24xlarge,96,768.0,N/A,3.2,ap-south-1
r4.8xlarge,32,244.0,N/A,2.3,ap-south-1
t2.small,1,2.0,N/A,2.5,ap-south-1
m6id.24xlarge,96,384.0,5700,3.5,ap-south-1
r6g.xlarge,4,32.0,N/A,2.5,ap-south-1
i3en.2xlarge,8,64.0,5000,3.1,ap-south-1
i3.2xlarge,8,61.0,1900,2.3,ap-south-1
r7gd.12xlarge,48,384.0,2850,2.6,ap-south-1
a1.4xlarge,16,32.0,N/A,2.3,ap-south-1
c7i.12xlarge,48,96.0,N/A,3.2,ap-south-1
r7g.large,2,16.0,N/A,2.6,ap-south-1
x2iedn.24xlarge,96,3072.0,2850,3.5,ap-south-1
c7gd.12xlarge,48,96.0,2850,2.6,ap-south-1
r6i.32xlarge,128,1024.0,N/A,3.5,ap-south-1
i4i.12xlarge,48,384.0,11250,3.5,ap-south-1
r5.12xlarge,48,384.0,N/A,3.1,ap-south-1
i4i.32xlarge,128,1024.0,30000,3.5,ap-south-1
t3.small,2,2.0,N/A,2.5,ap-south-1
m7g.metal,64,256.0,N/A,2.6,ap-south-1
c6g.8xlarge,32,64.0,N/A,2.5,ap-south-1
c6gn.8xlarge,32,64.0,N/A,2.5,ap-south-1
g6.12xlarge,48,192.0,3760,3.4,ap-south-1
c5a.8xlarge,32,64.0,N/A,3.3,ap-south-1
c7g.large,2,4.0,N/A,2.6,ap-south-1
r5d.metal,96,768.0,3600,3.1,ap-south-1
r5n.8xlarge,32,256.0,N/A,3.1,ap-south-1
z1d.6xlarge,24,192.0,900,4.0,ap-south-1
m7i.xlarge,4,16.0,N/A,3.2,ap-south-1
m6a.xlarge,4,16.0,N/A,3.6,ap-south-1
gr6.4xlarge,16,128.0,600,3.4,ap-south-1
i4i.xlarge,4,32.0,937,3.5,ap-south-1
c6gn.large,2,4.0,N/A,2.5,ap-south-1
c6gd.medium,1,2.0,59,2.5,ap-south-1
i3en.large,2,16.0,1250,3.1,ap-south-1
m6a.24xlarge,96,384.0,N/A,3.6,ap-south-1
m5a.large,2,8.0,N/A,2.5,ap-south-1
x1.32xlarge,128,1952.0,3840,2.3,ap-south-1
t2.xlarge,4,16.0,N/A,2.3,ap-south-1
m6id.8xlarge,32,128.0,1900,3.5,ap-south-1
is4gen.medium,1,6.0,937,2.5,ap-south-1
c6i.metal,128,256.0,N/A,3.5,ap-south-1
i3.16xlarge,64,488.0,15200,2.3,ap-south-1
m6idn.8xlarge,32,128.0,1900,3.5,ap-south-1
c5.2xlarge,8,16.0,N/A,3.4,ap-south-1
r6g.metal,64,512.0,N/A,2.5,ap-south-1
r4.large,2,15.25,N/A,2.3,ap-south-1
m6in.2xlarge,8,32.0,N/A,3.5,ap-south-1
c7g.12xlarge,48,96.0,N/A,2.6,ap-south-1
m6idn.16xlarge,64,256.0,3800,3.5,ap-south-1
r6gd.16xlarge,64,512.0,3800,2.5,ap-south-1
r6g.2xlarge,8,64.0,N/A,2.5,ap-south-1
i3en.6xlarge,24,192.0,15000,3.1,ap-south-1
c7i.48xlarge,192,384.0,N/A,3.2,ap-south-1
c5n.xlarge,4,10.5,N/A,3.4,ap-south-1
m6g.medium,1,4.0,N/A,2.5,ap-south-1
g5.48xlarge,192,768.0,7600,3.3,ap-south-1
r7g.12xlarge,48,384.0,N/A,2.6,ap-south-1
c6in.metal,128,256.0,N/A,3.5,ap-south-1
x2iedn.32xlarge,128,4096.0,3800,3.5,ap-south-1
r6i.large,2,16.0,N/A,3.5,ap-south-1
c5a.large,2,4.0,N/A,3.3,ap-south-1
m7i.metal-48xl,192,768.0,N/A,3.2,ap-south-1
t3a.xlarge,4,16.0,N/A,2.2,ap-south-1
m6g.2xlarge,8,32.0,N/A,2.5,ap-south-1
m6i.12xlarge,48,192.0,N/A,3.5,ap-south-1
c6g.2xlarge,8,16.0,N/A,2.5,ap-south-1
m6in.8xlarge,32,128.0,N/A,3.5,ap-south-1
c5d.9xlarge,36,72.0,900,3.4,ap-south-1
i3en.metal,96,768.0,60000,3.1,ap-south-1
r5n.metal,96,768.0,N/A,3.1,ap-south-1
c6a.large,2,4.0,N/A,3.6,ap-south-1
i4i.8xlarge,32,256.0,7500,3.5,ap-south-1
r6i.2xlarge,8,64.0,N/A,3.5,ap-south-1
is4gen.8xlarge,32,192.0,30000,2.5,ap-south-1
d2.xlarge,4,30.5,6144,2.4,ap-south-1
r6i.8xlarge,32,256.0,N/A,3.5,ap-south-1
c6i.xlarge,4,8.0,N/A,3.5,ap-south-1
t3a.micro,2,1.0,N/A,2.2,ap-south-1
c6g.metal,64,128.0,N/A,2.5,ap-south-1
m7i.12xlarge,48,192.0,N/A,3.2,ap-south-1
r7i.4xlarge,16,128.0,N/A,3.2,ap-south-1
c5.18xlarge,72,144.0,N/A,3.4,ap-south-1
i3.4xlarge,16,122.0,3800,2.3,ap-south-1
u-9tb1.112xlarge,448,9216.0,N/A,2.1,ap-south-1
r4.4xlarge,16,122.0,N/A,2.3,ap-south-1
m7i.4xlarge,16,64.0,N/A,3.2,ap-south-1
m6a.12xlarge,48,192.0,N/A,3.6,ap-south-1
c6gd.12xlarge,48,96.0,2850,2.5,ap-south-1
r8g.8xlarge,32,256.0,N/A,2.8,ap-south-1
m6i.2xlarge,8,32.0,N/A,3.5,ap-south-1
g4dn.4xlarge,16,64.0,225,2.5,ap-south-1
m7i-flex.xlarge,4,16.0,N/A,3.2,ap-south-1
r6gd.12xlarge,48,384.0,2850,2.5,ap-south-1
m5d.4xlarge,16,64.0,600,3.1,ap-south-1
m5a.12xlarge,48,192.0,N/A,2.5,ap-south-1
x2iedn.8xlarge,32,1024.0,950,3.5,ap-south-1
m6id.large,2,8.0,118,3.5,ap-south-1
m5a.24xlarge,96,384.0,N/A,2.5,ap-south-1
m6a.8xlarge,32,128.0,N/A,3.6,ap-south-1
m5a.xlarge,4,16.0,N/A,2.5,ap-south-1
m6a.48xlarge,192,768.0,N/A,3.6,ap-south-1
r5n.large,2,16.0,N/A,3.1,ap-south-1
m6gd.large,2,8.0,118,2.5,ap-south-1
c7gd.4xlarge,16,32.0,950,2.6,ap-south-1
t2.nano,1,0.5,N/A,2.4,ap-south-1
m7gd.2xlarge,8,32.0,474,2.6,ap-south-1
g4dn.2xlarge,8,32.0,225,2.5,ap-south-1
c6gd.large,2,4.0,118,2.5,ap-south-1
g4dn.8xlarge,32,128.0,900,2.5,ap-south-1
c6gd.8xlarge,32,64.0,1900,2.5,ap-south-1
r7g.16xlarge,64,512.0,N/A,2.6,ap-south-1
z1d.3xlarge,12,96.0,450,4.0,ap-south-1
r6idn.8xlarge,32,256.0,1900,3.5,eu-north-1
m6idn.large,2,8.0,118,3.5,eu-north-1
hpc7a.96xlarge,192,768.0,N/A,3.7,eu-north-1
c6i.8xlarge,32,64.0,N/A,3.5,eu-north-1
d2.8xlarge,36,244.0,49152,2.4,eu-north-1
r6in.24xlarge,96,768.0,N/A,3.5,eu-north-1
c7gd.medium,1,2.0,59,2.6,eu-north-1
m7gd.16xlarge,64,256.0,3800,2.6,eu-north-1
r7a.32xlarge,128,1024.0,N/A,3.7,eu-north-1
g5.4xlarge,16,64.0,600,3.3,eu-north-1
c6gn.xlarge,4,8.0,N/A,2.5,eu-north-1
g5.2xlarge,8,32.0,450,3.3,eu-north-1
r6g.8xlarge,32,256.0,N/A,2.5,eu-north-1
c6in.xlarge,4,8.0,N/A,3.5,eu-north-1
r8g.4xlarge,16,128.0,N/A,2.8,eu-north-1
c7i-flex.8xlarge,32,64.0,N/A,3.2,eu-north-1
c7i.8xlarge,32,64.0,N/A,3.2,eu-north-1
c7g.16xlarge,64,128.0,N/A,2.6,eu-north-1
c5d.12xlarge,48,96.0,1800,3.6,eu-north-1
m7i.16xlarge,64,256.0,N/A,3.2,eu-north-1
c5n.large,2,5.25,N/A,3.4,eu-north-1
c6gn.16xlarge,64,128.0,N/A,2.5,eu-north-1
m7gd.xlarge,4,16.0,237,2.6,eu-north-1
x2iedn.xlarge,4,128.0,118,3.5,eu-north-1
c6i.large,2,4.0,N/A,3.5,eu-north-1
i4i.24xlarge,96,768.0,22500,3.5,eu-north-1
r5n.12xlarge,48,384.0,N/A,3.1,eu-north-1
m5d.xlarge,4,16.0,150,3.1,eu-north-1
m5.12xlarge,48,192.0,N/A,3.1,eu-north-1
r6i.xlarge,4,32.0,N/A,3.5,eu-north-1
r6idn.2xlarge,8,64.0,474,3.5,eu-north-1
m6gd.12xlarge,48,192.0,2850,2.5,eu-north-1
r7a.2xlarge,8,64.0,N/A,3.7,eu-north-1
c7a.medium,1,2.0,N/A,3.7,eu-north-1
t4g.nano,2,0.5,N/A,2.5,eu-north-1
c7a.metal-48xl,192,384.0,N/A,3.7,eu-north-1
m6gd.xlarge,4,16.0,237,2.5,eu-north-1
i3en.12xlarge,48,384.0,30000,3.1,eu-north-1
r6g.medium,1,8.0,N/A,2.5,eu-north-1
i3en.3xlarge,12,96.0,7500,3.1,eu-north-1
c6g.16xlarge,64,128.0,N/A,2.5,eu-north-1
m5.24xlarge,96,384.0,N/A,3.1,eu-north-1
c5n.2xlarge,8,21.0,N/A,3.4,eu-north-1
r6gd.2xlarge,8,64.0,474,2.5,eu-north-1
inf2.48xlarge,192,768.0,N/A,3.6,eu-north-1
c7g.8xlarge,32,64.0,N/A,2.6,eu-north-1
c7a.large,2,4.0,N/A,3.7,eu-north-1
x2iedn.2xlarge,8,256.0,237,3.5,eu-north-1
